rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,dystopia,population,year,sqrt_of_population,posx
32,Uruguay,Latin America and Caribbean,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.2324,0.24558000000000002,2.3214200000000003,3410000.0,2015,1846.6185312619389,-57.625133
33,Colombia,Latin America and Caribbean,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.18400999999999998,0.0512,2.85737,47500000.0,2015,6892.024376045111,-75.373223
34,Thailand,Southeastern Asia,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.5763,0.031869999999999996,2.31945,68700000.0,2015,8288.546314040841,102.584932
35,Saudi Arabia,Middle East and Northern Africa,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.13706,0.32524000000000003,2.43872,31700000.0,2015,5630.2753041036985,42.779332
36,Spain,Western Europe,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.18227000000000002,0.06398,2.12367,46700000.0,2015,6833.7398253079555,-9.034818
37,Malta,Western Europe,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.51752,0.13585999999999998,1.6488,434000.0,2015,658.7867636800241,
39,Kuwait,Middle East and Northern Africa,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.16228,0.25609,1.8763400000000001,3840000.0,2015,1959.5917942265426,47.974519
40,Suriname,Latin America and Caribbean,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.16990999999999998,0.13633,2.79094,559000.0,2015,747.6630257007498,-57.147436
41,Trinidad and Tobago,Latin America and Caribbean,6.167999999999999,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,2.2688200000000003,1370000.0,2015,1170.4699910719626,-61.68
42,El Salvador,Latin America and Caribbean,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.10692,0.11775999999999999,3.035,6330000.0,2015,2515.949125081825,-87.793111
43,Guatemala,Latin America and Caribbean,6.122999999999999,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2.74255,16300000.0,2015,4037.32584763727,-90.095555
44,Uzbekistan,Central and Eastern Europe,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.22837,0.30826,2.2374099999999997,30900000.0,2015,5558.776843874918,66.518607
45,Slovakia,Central and Eastern Europe,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.16893,0.03431,2.2463900000000003,5440000.0,2015,2332.38075793812,18.853144
46,Japan,Eastern Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,1.68435,128000000.0,2015,11313.70849898476,134.638428
47,South Korea,Eastern Asia,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.18557,0.07857,2.21978,50800000.0,2015,7127.411872482185,128.349716
48,Ecuador,Latin America and Caribbean,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.11540999999999998,0.1809,2.5394200000000002,16200000.0,2015,4024.9223594996215,-80.302561
49,Bahrain,Middle East and Northern Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,1.73797,1370000.0,2015,1170.4699910719626,
50,Italy,Western Europe,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.22823000000000002,0.02901,2.0251799999999998,60600000.0,2015,7784.6001824114255,15.520376
51,Bolivia,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.08800000000000001,2.82334,10900000.0,2015,3301.5148038438356,-62.846468
52,Moldova,Central and Eastern Europe,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,3.10712,4070000.0,2015,2017.4241001832015,26.619337
53,Paraguay,Latin America and Caribbean,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242000000000001,2.18896,6690000.0,2015,2586.5034312755124,-62.685057
54,Kazakhstan,Central and Eastern Europe,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.11827,0.08454,2.24729,17600000.0,2015,4195.235392680606,70.962315
55,Slovenia,Central and Eastern Europe,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.25328,0.03787,1.6158299999999999,2070000.0,2015,1438.7494569938158,13.806475
