,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
51,52,Moldova,Central and Eastern Europe,5.889,1.493010189,2.547669669,2.204747962,1.674809757,0.1369177536,2015,2.716860651
52,53,Paraguay,Latin America and Caribbean,5.878,1.90832962,2.723706366,3.620991846,2.737124055,0.6987468268,2015,3.491527728
53,54,Kazakhstan,Central and Eastern Europe,5.855,2.81920949,2.652418097,3.469834466,0.9454429379,0.7167199313,2015,3.00353751
54,55,Slovenia,Central and Eastern Europe,5.848,2.976024785,3.598903792,4.088303286,2.024704383,0.3210572959,2015,3.40878668
55,56,Lithuania,Central and Eastern Europe,5.833,2.881217332,3.013392222,1.43377814,0.2111198782,0.08740693745,2015,3.364900742
56,57,Nicaragua,Latin America and Caribbean,5.828,1.489921099,3.062263833,3.726869194,2.223513598,1.637671979,2015,3.055531642
57,58,Peru,Latin America and Caribbean,5.824,2.260787314,3.008818235,2.787745184,1.197651653,0.5077402021,2015,2.607975358
58,59,Belarus,Central and Eastern Europe,5.813,2.591621374,3.033171626,2.548714979,0.8830102894,1.618427193,2015,3.299178875
59,60,Poland,Central and Eastern Europe,5.791,2.826768972,3.210156086,3.568792164,1.339703915,0.3570882837,2015,3.423852401
60,61,Malaysia,Southeastern Asia,5.77,2.825036067,2.983146217,3.562208421,2.643994688,0.8902621243,2015,2.863905302
61,62,Croatia,Central and Eastern Europe,5.759,2.718751262,3.247324883,1.738847325,0.4351899344,0.2060124714,2015,2.130715788
62,63,Libya,Middle East and Northern Africa,5.754,2.841586561,2.900155134,2.799300326,1.462490788,0.9345166552,2015,2.993395577
63,64,Russia,Central and Eastern Europe,5.716,2.857132471,2.757825838,2.464134027,0.01590793478,0.2547602784,2015,3.307956062
64,65,Jamaica,Latin America and Caribbean,5.709,2.035233476,2.83261671,3.388746929,1.697112841,0.1949064493,2015,3.080097063
66,67,Cyprus,Western Europe,5.689,3.034164984,3.805722187,2.732387992,2.449182441,0.5210504729,2015,2.390124494
67,68,Algeria,Middle East and Northern Africa,5.605,2.358985232,2.545197243,1.919967457,0.6252857581,1.47370979,2015,2.88394833
69,70,Turkmenistan,Central and Eastern Europe,5.548,2.407154952,2.220485358,3.198490173,1.357290576,2.614917147,2015,3.28256109
70,71,Mauritius,Sub-Saharan Africa,5.477,2.530567886,2.923643176,3.766573199,3.01723161,0.6376213158,2015,2.636394179
72,73,Estonia,Central and Eastern Europe,5.429,2.892543997,3.187821843,3.015623333,0.6938737382,1.28728122,2015,3.285852535
73,74,Indonesia,Southeastern Asia,5.399,2.080163419,2.628724019,3.131376296,4.119675472,1.28728122,2015,2.908995426
74,75,Vietnam,Southeastern Asia,5.36,1.58764184,3.077180801,3.993510813,1.347777791,0.8851753966,2015,2.441182036
75,76,Turkey,Middle East and Northern Africa,5.332,2.664604277,3.015205334,1.532735839,0.9794971099,1.334926903,2015,2.532325636
77,78,Nigeria,Sub-Saharan Africa,5.268,1.643371042,0.6596019213,2.306594446,2.176988884,0.3416585431,2015,2.41993482
78,79,Bhutan,Southern Asia,5.253,1.934875706,2.365575529,3.574435373,3.836929918,1.309408486,2015,2.954139071
79,80,Azerbaijan,Central and Eastern Europe,5.212,2.571454385,2.639108206,2.487714579,0.6234471525,1.361971339,2015,2.509874232
80,81,Pakistan,Southern Asia,5.194,1.495396072,2.120764196,0.8130251642,2.691638553,0.8871253089,2015,1.108146683
81,82,Jordan,Middle East and Northern Africa,5.192,2.265282819,2.869620678,2.731649,0.883569865,1.211743314,2015,2.820260201
82,82,Montenegro,Central and Eastern Europe,5.192,2.447112213,2.988379517,1.22672612,1.290221444,1.211997651,2015,2.423279785
83,84,China,Eastern Asia,5.14,2.235496955,3.364888717,3.473059157,0.6543037496,0.2357698284,2015,2.533476303
84,85,Zambia,Sub-Saharan Africa,5.129,1.181338536,1.23308102,3.28024952,1.566092212,1.057022014,2015,2.451511287
85,86,Romania,Central and Eastern Europe,5.124,2.620578458,3.168413302,2.355905343,1.099006469,0.05502143783,2015,2.3705899
86,87,Serbia,Central and Eastern Europe,5.123,2.311870323,3.083773935,1.350809534,1.537314039,0.221866106,2015,2.70176817
87,88,Portugal,Western Europe,5.102,2.91306259,3.606403483,3.457741875,1.096688227,0.0913915408,2015,3.048868472
88,89,Latvia,Central and Eastern Europe,5.098,2.795551577,2.984918122,1.993329173,1.456974971,0.5368193287,2015,2.931848226
89,90,Philippines,Southeastern Asia,5.073,1.77137994,2.394708943,4.201839274,1.997764815,1.040998821,2015,2.77005897
91,92,Morocco,Middle East and Northern Africa,5.013,1.84539254,2.511737085,2.80084549,0.5733251671,0.7245195804,2015,1.715164126
92,93,Macedonia,Central and Eastern Europe,5.007,2.306797182,3.03057558,2.247676658,1.787364391,0.4516166399,2015,2.682180056
93,94,Mozambique,Sub-Saharan Africa,4.971,0.2086517402,0.3762619569,2.286641672,1.780169847,1.322803535,2015,2.746242821
94,95,Albania,Central and Eastern Europe,4.959,2.206740787,3.351166755,2.400580746,1.140894699,0.5436864111,2015,2.152391159
95,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,2.090108784,3.258698041,0.6210888814,1.98313591,0.01924478642,2015,2.459646241
96,97,Lesotho,Sub-Saharan Africa,4.898,0.9429260455,0.3136683841,2.13414067,1.310046408,1.06007405,2015,2.785766925
97,98,Dominican Republic,Latin America and Caribbean,4.885,2.248682097,2.753663922,3.874465978,1.733405315,1.206741365,2015,3.136292471
98,99,Laos,Southeastern Asia,4.876,1.483416428,2.262640213,4.003386429,3.372801931,2.055800995,2015,1.974947469
99,100,Mongolia,Eastern Asia,4.874,2.079962503,2.483469019,2.930840837,2.65638529,0.226020267,2015,3.480368926
100,101,Swaziland,Sub-Saharan Africa,4.867,1.788307151,0.3117728579,2.059636877,1.459612971,0.2594231121,2015,2.870889588
101,102,Greece,Western Europe,4.857,2.898370574,3.635001205,0.5172269657,1.459612971,0.1184359763,2015,2.486860875
102,103,Lebanon,Middle East and Northern Africa,4.839,2.575849432,3.45921175,2.278512764,1.746995009,0.3884564378,2015,2.140804201
103,104,Hungary,Central and Eastern Europe,4.8,2.815191161,3.127824317,2.157318135,1.023223946,0.2338199161,2015,3.216919502
104,105,Honduras,Latin America and Caribbean,4.788,1.495119812,2.864304963,2.697185118,1.84076389,0.5786152746,2015,2.551485594
105,106,Tajikistan,Central and Eastern Europe,4.786,0.9806481102,2.364421731,3.172020836,1.836527104,1.277785995,2015,2.289641753
106,107,Tunisia,Middle East and Northern Africa,4.739,2.212918968,3.040794938,1.764712032,0.5140900933,0.5390235774,2015,1.617063
