,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
52,53,Paraguay,Latin America and Caribbean,5.878,42.20542036,56.315395,80.01620901,43.02156104,14.46678528,2015,60.27503134
53,54,Kazakhstan,Central and Eastern Europe,5.855,62.3508226,54.84143764,76.6759528,14.86028044,14.83889866,2015,51.85074605
54,55,Slovenia,Central and Eastern Europe,5.848,65.81901561,74.41099053,90.34279671,31.82389306,6.647138539,2015,58.84665395
55,56,Lithuania,Central and Eastern Europe,5.833,63.72221411,62.30494424,31.68344371,3.318339449,1.809664599,2015,58.0890411
56,57,Nicaragua,Latin America and Caribbean,5.828,32.95172156,63.31541443,82.35587294,34.948736,33.90619888,2015,52.74833249
57,58,Peru,Latin America and Caribbean,5.824,50.00052293,62.21037242,61.60323215,18.8244459,10.51220299,2015,45.02206733
58,59,Belarus,Central and Eastern Europe,5.813,57.31738812,62.71390351,56.32117363,13.87897673,33.50775673,2015,56.95446966
59,60,Poland,Central and Eastern Europe,5.791,62.51801128,66.37323694,78.86270719,21.05719456,7.393120551,2015,59.10673689
60,61,Malaysia,Southeastern Asia,5.77,62.47968563,61.67957738,78.71722049,41.55777253,18.43189908,2015,49.44024371
61,62,Croatia,Central and Eastern Europe,5.759,60.12904619,67.14173956,38.42482306,6.84022717,4.265261857,2015,36.78302762
62,63,Libya,Middle East and Northern Africa,5.754,62.84572331,59.96365246,61.85857618,22.98713374,19.34814051,2015,51.67566357
63,64,Russia,Central and Eastern Europe,5.716,63.1895432,57.02084973,54.4521147,0.2500376941,5.274531638,2015,57.10599223
64,65,Jamaica,Latin America and Caribbean,5.709,45.0120794,58.56722696,74.8840909,26.67487561,4.035323873,2015,53.1724109
66,67,Cyprus,Western Europe,5.689,67.1048687,78.68717087,60.37995609,38.49575312,10.78777752,2015,41.26125868
67,68,Algeria,Middle East and Northern Africa,5.605,52.17230938,52.62453761,42.42719229,9.828114791,30.51154191,2015,49.78625104
69,70,Turkmenistan,Central and Eastern Europe,5.548,53.23765116,45.91078965,70.67982174,21.33361813,54.1389863,2015,56.66759309
70,71,Mauritius,Sub-Saharan Africa,5.477,55.96710351,60.44929158,83.2332469,47.42423481,13.20124874,2015,45.51266784
72,73,Estonia,Central and Eastern Europe,5.429,63.9727194,65.91145379,66.63885398,10.90616676,26.65174322,2015,56.72441406
73,74,Indonesia,Southeastern Asia,5.399,46.00576891,54.35153852,69.19674797,64.75222395,26.65174322,2015,50.21864472
74,75,Vietnam,Southeastern Asia,5.36,35.11295456,63.62383789,88.24808491,21.18409811,18.32658397,2015,42.14267655
75,76,Turkey,Middle East and Northern Africa,5.332,58.9315087,62.34243217,33.87019813,15.39553702,27.63819473,2015,43.71610909
77,78,Nigeria,Sub-Saharan Africa,5.268,36.34548503,13.63793954,50.97082544,34.21746997,7.073664726,2015,41.77588107
78,79,Bhutan,Southern Asia,5.253,42.79252476,48.91067627,78.9874101,60.30808665,27.10986395,2015,50.99796964
